ENERGY,XSECTN
0.0,0.0
0.1,0.0
0.2,0.0
0.3,0.0
0.4,0.0
0.5,0.0
0.6,8.721799844839494e-25
0.7,0.0
0.8,1.6584947193571766e-24
0.9,2.1787498568686153e-23
1.0,8.627603293009438e-21
1.1,6.038534453880999e-19
1.2,9.777986004035334e-22
1.3,1.4572156866660867e-20
1.4,6.848170672577438e-22
1.5,1.2523079487090408e-22
1.6,1.2806984377117353e-22
1.7,1.001674282891232e-18
1.8,5.101607853811996e-19
1.9,3.473110328737647e-21
2.0,6.180970935600804e-22
2.1,3.736940577178422e-21
2.2,1.2478468916024876e-21
2.3,6.503512869351486e-22
2.4,7.3000070484276e-22
2.5,7.500059985107887e-22
2.6,4.1673729297280456e-22
2.7,3.053848265327587e-22
2.8,2.449181447058829e-22
2.9,1.4623444263698837e-21
3.0,8.025043928257935e-22
3.1,4.760299626751476e-22
3.2,3.6377972916869626e-22
3.3,3.0337342857883563e-22
3.4,2.6464814529198697e-22
3.5,5.090836927273501e-21
3.6,2.579419480328761e-21
3.7,1.0911556908961948e-21
3.8,7.721733303789205e-22
3.9,6.169313177988214e-22
4.0,5.227851734192977e-22
4.1,4.586277002322112e-22
4.2,1.3173722002108731e-20
4.3,1.0106082851782413e-20
4.4,1.8415686189605062e-19
4.5,3.402173349995586e-21
4.6,1.9353022087632247e-21
4.7,1.4298211356270885e-21
4.8,1.1582292383759838e-21
4.9,9.85458250254844e-22
5.0,8.648496515396881e-22
5.1,7.751980343891505e-22
5.2,7.058814034233372e-22
5.3,6.498361741806788e-22
5.4,9.509534165175442e-21
5.5,2.2731023800396872e-20
5.6,5.417769405420974e-21
5.7,1.0314879496920545e-20
5.8,4.855944741008784e-21
5.9,3.4632370945569795e-21
6.0,2.746246848106835e-21
6.1,2.297702195481637e-21
6.2,1.98765890494109e-21
6.3,1.7591421579542604e-21
6.4,1.5831817880816225e-21
6.5,1.4431911944907076e-21
6.6,1.3290616476664859e-21
6.7,1.2340464733896276e-21
6.8,1.1536230002688324e-21
6.9,2.3984310991775672e-20
7.0,4.327795314766414e-20
7.1,2.4152841851791473e-20
7.2,7.114722394936602e-20
7.3,2.0047728451477843e-20
7.4,3.6013330234757986e-20
7.5,2.69054683061328e-20
7.6,1.414110004708885e-20
7.7,1.0452328065452976e-20
7.8,8.398843469207216e-21
7.9,7.040546005546995e-21
8.0,6.062732239834472e-21
8.1,5.3211851386002815e-21
8.2,4.738447624109212e-21
8.3,5.576314376406457e-20
8.4,4.4328677107182295e-18
8.5,1.7986587633155161e-19
8.6,5.808084017315652e-20
8.7,8.765150640287301e-20
8.8,1.5387007789728546e-20
8.9,3.2596082292614954e-19
9.0,4.5363886289450506e-20
9.1,1.8005069961165357e-20
9.2,8.93770055610208e-21
9.3,5.9643492716906715e-21
9.4,4.8186435332960123e-20
9.5,7.071833589693539e-20
9.6,1.2528046455005779e-19
9.7,8.876831395398891e-16
9.8,7.700875587463701e-20
9.9,3.538696317134367e-17
10.0,7.302029355596037e-19
10.1,1.4967194690724358e-19
10.2,9.722272957959825e-20
10.3,1.6146954258132136e-19
10.4,4.6067713353648686e-20
10.5,3.1243648421861236e-20
10.6,2.3986805954357908e-20
10.7,1.9565853859990283e-20
10.8,1.6567630192179622e-20
10.9,1.4391394550967168e-20
11.0,1.2734910053349784e-20
11.1,1.1434796765224302e-20
11.2,1.0373693516554303e-20
11.3,9.495991210544027e-21
11.4,8.756501695248156e-21
11.5,8.12546046868231e-21
11.6,7.578122076217316e-21
11.7,7.098905171203306e-21
11.8,6.676194342396018e-21
11.9,6.30027408432315e-21
12.0,5.96364581869903e-21
12.1,5.660273039384567e-21
12.2,5.3855767970452265e-21
12.3,5.1355585818271895e-21
12.4,4.907108509942119e-21
12.5,4.697257839735448e-21
12.6,4.5037692053760665e-21
12.7,4.325249965332448e-21
12.8,4.1596870531706704e-21
12.9,4.005793136187474e-21
13.0,3.862474767417431e-21
13.1,3.728597089888094e-21
13.2,3.6032585907599795e-21
13.3,3.485571055786699e-21
13.4,3.3749398034156786e-21
13.5,2.773804315830793e-19
13.6,4.744546747014106e-18
13.7,9.995785558077322e-19
13.8,5.444434796043754e-19
13.9,5.342674071171539e-19
14.0,3.291525511338998e-19
14.1,2.4502615012610557e-19
14.2,2.5632822000806735e-19
14.3,3.6921168304618975e-19
14.4,2.0707526633316028e-19
14.5,1.582874009792244e-19
14.6,1.3006469867687574e-19
14.7,1.1050643064811217e-19
14.8,5.091148803467762e-19
14.9,1.6465503359186283e-19
15.0,1.1462583918498852e-19
15.1,3.539391491287152e-19
15.2,1.2926233929201086e-19
15.3,9.508581775659952e-20
15.4,7.814375633874292e-20
15.5,6.713226914426944e-20
15.6,5.908294843035335e-20
15.7,5.280989870925774e-20
15.8,4.7722413119505934e-20
15.9,4.3483234813540254e-20
16.0,3.9881352267958977e-20
16.1,3.6775092236096913e-20
16.2,3.4064918721638306e-20
16.3,3.167797833011841e-20
16.4,2.9559087008236804e-20
16.5,2.7665607672509e-20
16.6,2.5963854496273298e-20
16.7,2.4426655717652388e-20
16.8,2.3032137140583496e-20
16.9,2.1761976367450744e-20
17.0,2.0600968735307105e-20
17.1,1.953630827939507e-20
17.2,1.8557020167143714e-20
17.3,1.765400141597652e-20
17.4,1.681914138755944e-20
17.5,1.6045501607592948e-20
17.6,1.5326840280313004e-20
17.7,1.4658272584064696e-20
17.8,1.4034948331730228e-20
17.9,1.3452765810698784e-20
18.0,1.290799119524847e-20
18.1,1.2397495009095975e-20
18.2,1.1918495251476758e-20
18.3,1.1468312403454573e-20
18.4,1.1044533229687681e-20
18.5,1.0645276135879109e-20
18.6,1.0268563724111277e-20
18.7,9.91259876277054e-21
18.8,9.575944102317243e-21
18.9,9.257202277212951e-21
19.0,8.955104715541478e-21
19.1,8.66859107411508e-21
19.2,8.396501349786727e-21
19.3,8.137866994191815e-21
19.4,7.891800263937027e-21
19.5,7.657486165230503e-21
19.6,7.434175333968547e-21
19.7,7.221177727066243e-21
19.8,7.017857019400103e-21
19.9,6.823526208931695e-21
20.0,6.637841412335797e-21
20.1,6.460199592146176e-21
20.2,6.290134479884272e-21
20.3,6.127213351584759e-21
20.4,5.9710341537418015e-21
20.5,5.8212229149282646e-21
20.6,5.677431410753151e-21
20.7,5.5393350539316756e-21
20.8,5.406630984771124e-21
20.9,5.278936839283901e-21
21.0,5.156187757438521e-21
21.1,5.038036221818371e-21
21.2,5.650423607026209e-17
21.3,7.807250582019567e-18
21.4,4.041661763823979e-18
21.5,2.629020634573095e-18
21.6,1.89337630177153e-18
21.7,3.0921938263935315e-18
21.8,1.6349120745942768e-18
21.9,1.2161793379590626e-18
22.0,9.731256525071318e-19
22.1,8.059497988330863e-19
22.2,6.820574812485541e-19
22.3,5.862071085566444e-19
22.4,7.7809352749106195e-19
22.5,5.25242358770489e-19
22.6,7.86267225927753e-19
22.7,5.442116767773955e-19
22.8,1.2310366484937556e-16
22.9,3.1489417567364907e-18
23.0,9.46122661558804e-19
23.1,5.296505688608039e-19
23.2,3.8060976893539734e-19
23.3,3.295339812964841e-17
23.4,1.9451389120948862e-18
23.5,6.074633654496263e-19
23.6,3.4219209249933644e-19
23.7,7.669829422505707e-19
23.8,3.998912854451501e-19
23.9,2.849815679732468e-19
24.0,2.270269778693978e-19
24.1,1.913163645660742e-19
24.2,1.66634191328355e-19
24.3,1.0063964510234926e-18
24.4,3.6063900203086584e-19
24.5,2.467172586026517e-19
24.6,1.9550431079545722e-19
24.7,1.6491659315378103e-19
24.8,1.439089812212489e-19
24.9,1.2824995967726019e-19
25.0,1.1594239671767166e-19
