ENERGY,NELE_1,NELE_2,NELE_3,NELE_4,NELE_5,NELE_6,NELE_7,NELE_8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.904833087167522e-25
0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38146571197359e-23
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.520001499623964e-24
0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.249169779568584e-24
0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.860062711115734e-24
0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.89402989594797e-24
0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.841864697669338e-24
0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.985474940563838e-24
0.16,0.0,0.0,0.0,0.0,0.0,0.0,9.219694998658222e-24,4.318462487045469e-24
0.17,0.0,0.0,0.0,0.0,0.0,0.0,4.699704505336132e-25,5.691048483898138e-24
0.18,0.0,0.0,0.0,0.0,0.0,0.0,7.035644148049895e-24,5.776524834593495e-24
0.19,0.0,0.0,0.0,0.0,0.0,0.0,1.3121627495775416e-23,4.39670478017388e-24
0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.3642050392357578e-23,4.01118565237855e-24
0.21,0.0,0.0,0.0,0.0,0.0,1.2137474293380635e-21,3.591409357382722e-24,3.8367305377684926e-24
0.22,0.0,0.0,0.0,0.0,0.0,1.1435416083593992e-22,1.0347925978606188e-23,6.731324311011582e-24
0.23,0.0,0.0,0.0,0.0,0.0,3.3383405008704213e-23,1.3708204133391624e-23,7.218648957099337e-24
0.24,0.0,0.0,0.0,0.0,0.0,1.5846737837816916e-23,5.767058193329972e-24,5.03598764766255e-24
0.25,0.0,0.0,0.0,0.0,0.0,9.37042993344307e-24,7.55719816332679e-24,4.628289497847712e-24
0.26,0.0,0.0,0.0,0.0,0.0,6.286384656880282e-24,1.7512198984774193e-23,4.420704110952288e-24
0.27,0.0,0.0,0.0,0.0,0.0,4.576943556622166e-24,6.695291945292865e-24,4.2868657021084924e-24
0.28,0.0,0.0,0.0,0.0,0.0,3.528221624684901e-24,1.353736611190318e-23,5.7251241447593635e-24
0.29,0.0,0.0,0.0,0.0,0.0,2.8363235503679437e-24,5.553335935745123e-24,4.8773051736071685e-24
0.3,0.0,0.0,0.0,0.0,0.0,2.354206978404581e-24,2.999065849798396e-23,6.854201295706342e-23
0.31,0.0,0.0,0.0,0.0,0.0,2.0036732206919533e-24,1.0591662463155261e-23,1.0283633723716276e-23
0.32,0.0,0.0,0.0,0.0,0.0,1.970494551299099e-24,7.957476985994674e-24,7.493368223516493e-24
0.33,0.0,0.0,0.0,0.0,0.0,1.7328602536421042e-24,1.3799106507261423e-23,6.472546137546829e-24
0.34,0.0,0.0,0.0,0.0,0.0,1.3746553169997095e-24,8.723653341410635e-24,5.818753804757994e-24
0.35,0.0,0.0,0.0,0.0,0.0,2.7091074545595804e-24,4.0822405578483537e-23,5.469481544030358e-24
0.36,0.0,0.0,0.0,0.0,3.4787561512507297e-25,1.2413688206192152e-24,1.7243095703028857e-23,5.039534126651632e-24
0.37,0.0,0.0,0.0,0.0,0.0,1.2476363683710843e-24,1.4343703823641474e-23,4.865904288143384e-24
0.38,0.0,0.0,0.0,0.0,0.0,9.73487819495631e-25,4.788823910270958e-23,1.2849284571285992e-23
0.39,0.0,0.0,0.0,0.0,0.0,1.2299125268738078e-23,1.468866125476727e-23,8.338731217324302e-24
0.4,0.0,0.0,0.0,0.0,0.0,1.1926754500855958e-24,1.085916619297724e-23,5.0682788941560634e-23
0.41,0.0,0.0,0.0,0.0,0.0,1.5917988905468056e-24,5.1192991769443224e-23,3.2244930847982175e-23
0.42,0.0,0.0,0.0,0.0,4.763663978674332e-25,9.633770510896332e-25,4.2854318022287415e-23,1.7136356220121578e-23
0.43,0.0,0.0,0.0,0.0,0.0,8.557253146743605e-25,2.0036838306666928e-23,1.3065084176657248e-23
0.44,0.0,0.0,0.0,0.0,0.0,2.6554580370687466e-24,1.939307351028117e-23,1.0977860534778723e-23
